Keyword,Seed,Source_left,Country_left,Autocomplete Position_left,Difficulty_left,Hot Keyword_left,Relevancy Score_left,Source_right,Country_right,Autocomplete Position_right,Difficulty_right,Hot Keyword_right,Relevancy Score_right,_merge
1kids sudoku 1-6,sudoku for kids,google,United States,1.0,8.0,No,95.07,,,,,,,left_only
2sudoku for kids printable,sudoku for kids,google,United States,1.0,7.0,Yes,95.04,,,,,,,left_only
3sudoku for kids nz,sudoku for kids,google,United States,1.0,6.0,No,92.56,,,,,,,left_only
junior sudoku for kids,sudoku for kids,google,United States,1.0,6.0,No,92.55,google,United States,1.0,6.0,No,92.55,both
kids sudoku 1,sudoku for kids,,,,,,,google,United States,1.0,8.0,No,95.07,right_only
sudoku for clever kids,sudoku for kids,google,United States,1.0,6.0,No,92.55,google,United States,1.0,6.0,No,92.55,both
sudoku for kids,sudoku for kids,,,,,,,google,United States,1.0,7.0,Yes,95.04,right_only
sudoku for kids 2x2,sudoku for kids,google,United States,1.0,6.0,No,92.55,google,United States,1.0,6.0,No,92.55,both
sudoku for kids 3x3,sudoku for kids,google,United States,1.0,6.0,No,92.55,google,United States,1.0,6.0,No,92.55,both
sudoku for kids 5x5,sudoku for kids,google,United States,1.0,6.0,No,92.55,google,United States,1.0,6.0,No,92.55,both
sudoku for kids easy,sudoku for kids,google,United States,1.0,6.0,No,92.55,google,United States,1.0,6.0,No,92.55,both
sudoku for kids game,sudoku for kids,google,United States,1.0,6.0,No,92.55,google,United States,1.0,6.0,No,92.55,both
sudoku for kids nz,sudoku for kids,,,,,,,google,United States,1.0,6.0,No,92.56,right_only
