Unnamed: 0,Keyword,Seed,Source,Country,Autocomplete Position,Difficulty,Hot Keyword,Relevancy Score
3,junior sudoku for kids,sudoku for kids,google,United States,1,6,No,92.55
13,sudoku for kids switch,sudoku for kids,google,United States,1,6,No,92.55
7,sudoku for kids 5x5,sudoku for kids,google,United States,1,6,No,92.55
2,sudoku for kids nz,sudoku for kids,google,United States,1,6,No,92.56
6,sudoku for kids 3x3,sudoku for kids,google,United States,1,6,No,92.55
10,sudoku for kids kmart,sudoku for kids,google,United States,1,6,No,92.55
4,sudoku for clever kids,sudoku for kids,google,United States,1,6,No,92.55
1,sudoku for kids printable,sudoku for kids,google,United States,1,7,Yes,95.04
14,sudoku for kids video,sudoku for kids,google,United States,1,6,No,92.55
0,kids sudoku 1-6,sudoku for kids,google,United States,1,8,No,95.07
15,sudoku for kids beginners,sudoku for kids,google,United States,1,6,No,92.54
9,sudoku for kids game,sudoku for kids,google,United States,1,6,No,92.55
8,sudoku for kids easy,sudoku for kids,google,United States,1,6,No,92.55
