Keyword,Seed,Source,Country,Autocomplete Position,Difficulty,Hot Keyword,Relevancy Score,Category
kids sudoku 1-6,sudoku for kids,google,United States,1,8,No,95.07,High
sudoku for kids printable,sudoku for kids,google,United States,1,7,Yes,95.04,Medium
sudoku for kids nz,sudoku for kids,google,United States,1,6,No,92.56,Low
junior sudoku for kids,sudoku for kids,google,United States,1,6,No,92.55,Low
sudoku for clever kids,sudoku for kids,google,United States,1,6,No,92.55,Low
sudoku for kids 2x2,sudoku for kids,google,United States,1,6,No,92.55,Low
sudoku for kids 3x3,sudoku for kids,google,United States,1,6,No,92.55,Low
sudoku for kids 5x5,sudoku for kids,google,United States,1,6,No,92.55,Low
sudoku for kids easy,sudoku for kids,google,United States,1,6,No,92.55,Low
sudoku for kids game,sudoku for kids,google,United States,1,6,No,92.55,Low
sudoku for kids kmart,sudoku for kids,google,United States,1,6,No,92.55,Low
sudoku for kids medium,sudoku for kids,google,United States,1,6,No,92.55,Low
sudoku for kids rules,sudoku for kids,google,United States,1,6,No,92.55,Low
sudoku for kids switch,sudoku for kids,google,United States,1,6,No,92.55,Low
sudoku for kids video,sudoku for kids,google,United States,1,6,No,92.55,Low
sudoku for kids beginners,sudoku for kids,google,United States,1,6,No,92.54,Low
