Unnamed: 0,Keyword,Seed,Source,Country,Autocomplete Position,Difficulty,Hot Keyword,Relevancy Score,RunTot_Autocomplete Position
0,kids sudoku 1-6,sudoku for kids,google,United States,1,8,No,95.07,1
1,sudoku for kids printable,sudoku for kids,google,United States,1,7,Yes,95.04,2
2,sudoku for kids nz,sudoku for kids,google,United States,1,6,No,92.56,3
3,junior sudoku for kids,sudoku for kids,google,United States,1,6,No,92.55,4
4,sudoku for clever kids,sudoku for kids,google,United States,1,6,No,92.55,5
5,sudoku for kids 2x2,sudoku for kids,google,United States,1,6,No,92.55,6
6,sudoku for kids 3x3,sudoku for kids,google,United States,1,6,No,92.55,7
7,sudoku for kids 5x5,sudoku for kids,google,United States,1,6,No,92.55,8
8,sudoku for kids easy,sudoku for kids,google,United States,1,6,No,92.55,9
9,sudoku for kids game,sudoku for kids,google,United States,1,6,No,92.55,10
10,sudoku for kids kmart,sudoku for kids,google,United States,1,6,No,92.55,11
11,sudoku for kids medium,sudoku for kids,google,United States,1,6,No,92.55,12
12,sudoku for kids rules,sudoku for kids,google,United States,1,6,No,92.55,13
13,sudoku for kids switch,sudoku for kids,google,United States,1,6,No,92.55,14
14,sudoku for kids video,sudoku for kids,google,United States,1,6,No,92.55,15
15,sudoku for kids beginners,sudoku for kids,google,United States,1,6,No,92.54,16
