Difficulty_right,Difficulty_left,Seed,Hot Keyword_left,Source_right,Relevancy Score_right,Relevancy Score_left,Keyword,Country_left,Hot Keyword_right,Source_left,Country_right
6.0,6.0,sudoku for kids,No,google,92.55,92.55,junior sudoku for kids,United States,No,google,United States
6.0,6.0,sudoku for kids,No,google,92.55,92.55,sudoku for clever kids,United States,No,google,United States
6.0,6.0,sudoku for kids,No,google,92.55,92.55,sudoku for kids 2x2,United States,No,google,United States
6.0,6.0,sudoku for kids,No,google,92.55,92.55,sudoku for kids 3x3,United States,No,google,United States
6.0,6.0,sudoku for kids,No,google,92.55,92.55,sudoku for kids 5x5,United States,No,google,United States
6.0,6.0,sudoku for kids,No,google,92.54,92.54,sudoku for kids beginners,United States,No,google,United States
6.0,6.0,sudoku for kids,No,google,92.55,92.55,sudoku for kids easy,United States,No,google,United States
6.0,6.0,sudoku for kids,No,google,92.55,92.55,sudoku for kids game,United States,No,google,United States
6.0,6.0,sudoku for kids,No,google,92.55,92.55,sudoku for kids kmart,United States,No,google,United States
6.0,6.0,sudoku for kids,No,google,92.55,92.55,sudoku for kids medium,United States,No,google,United States
6.0,6.0,sudoku for kids,No,google,92.55,92.55,sudoku for kids rules,United States,No,google,United States
6.0,6.0,sudoku for kids,No,google,92.55,92.55,sudoku for kids switch,United States,No,google,United States
6.0,6.0,sudoku for kids,No,google,92.55,92.55,sudoku for kids video,United States,No,google,United States
